ShipmentID,OrderID,WarehouseID,Carrier,ServiceLevel,PromisedDate,ShipDate,DeliveryDate,ShipCost$,DeliveryStatus
SH000021,O000021,W04,USPS,Expedited,2025-12-07,2025-12-04,2025-12-06,15.4,OnTime
SH000022,O000022,W03,UPS,Std,2025-12-13,2025-12-10,2025-12-14,6.41,Late
SH000023,O000023,W03,UPS,Std,2025-12-26,2025-12-23,2025-12-29,9.11,Late
SH000024,O000024,W05,DHL,Std,2025-12-22,2025-12-19,2025-12-24,9.93,Late
SH000025,O000025,W03,UPS,Std,2025-12-26,2025-12-22,2025-12-29,9.52,Late
SH000026,O000026,W04,DHL,Std,2025-11-12,2025-11-08,2025-11-12,8.55,OnTime
SH000027,O000027,W02,FedEx,Std,2025-12-21,2025-12-17,2025-12-22,7.93,Late
SH000028,O000028,W03,FedEx,Std,2025-12-03,2025-11-29,2025-12-05,4.78,Late
SH000029,O000029,W05,DHL,Std,2026-01-06,2026-01-03,2026-01-07,7.91,Late
SH000030,O000030,W02,UPS,Expedited,2025-12-13,2025-12-12,2025-12-15,9.18,Late
SH000031,O000031,W01,UPS,BOPIS,2025-12-31,2026-01-01,2026-01-01,0.0,Late
SH000032,O000032,W04,UPS,BOPIS,2025-12-21,2025-12-23,2025-12-23,0.0,Late
SH000033,O000033,W01,USPS,Expedited,2025-12-01,2025-11-30,2025-12-02,17.59,Late
SH000034,O000034,W05,FedEx,Std,2025-12-03,2025-11-29,2025-12-04,4.03,Late
SH000035,O000035,W05,FedEx,Expedited,2025-11-04,2025-11-02,2025-11-05,16.32,Late
SH000036,O000036,W05,UPS,Std,2025-11-29,2025-11-26,2025-11-30,6.62,Late
SH000037,O000037,W02,DHL,Std,2026-01-07,2026-01-03,2026-01-07,11.97,OnTime
SH000038,O000038,W03,USPS,Std,2025-12-26,2025-12-23,2025-12-28,9.63,Late
SH000039,O000039,W04,DHL,Std,2025-12-24,2025-12-19,2025-12-24,5.07,OnTime
SH000040,O000040,W03,FedEx,Std,2025-11-22,2025-11-17,2025-11-22,4.62,OnTime
SH000041,O000041,W02,UPS,Std,2025-11-14,2025-11-10,2025-11-17,6.77,Late
SH000042,O000042,W04,DHL,Std,2025-11-21,2025-11-16,2025-11-20,7.45,OnTime
SH000043,O000043,W01,DHL,BOPIS,2026-01-02,2026-01-02,2026-01-02,0.0,OnTime
SH000044,O000044,W04,DHL,Std,2026-01-09,2026-01-05,2026-01-12,8.57,Late
SH000045,O000045,W05,FedEx,Std,2026-01-07,2026-01-03,2026-01-07,11.54,OnTime
SH000046,O000046,W02,UPS,Expedited,2025-12-03,2025-12-01,2025-12-03,13.69,OnTime
SH000047,O000047,W05,UPS,Std,2025-12-09,2025-12-05,2025-12-11,5.28,Late
SH000048,O000048,W04,USPS,Expedited,2025-11-13,2025-11-10,2025-11-13,11.5,OnTime
SH000049,O000049,W04,UPS,Overnight,2025-12-02,2025-12-03,2025-12-04,29.22,Late
SH000050,O000050,W02,UPS,Std,2025-11-16,2025-11-13,2025-11-18,9.31,Late
SH000051,O000051,W05,DHL,Std,2025-11-17,2025-11-14,2025-11-21,5.68,Late
SH000052,O000052,W02,USPS,Expedited,2025-12-01,2025-11-30,2025-12-02,19.8,Late
SH000053,O000053,W01,DHL,Std,2025-12-06,2025-12-03,2025-12-10,10.76,Late
SH000054,O000054,W04,DHL,BOPIS,2025-11-26,2025-11-27,2025-11-27,0.0,Late
SH000055,O000055,W05,FedEx,Overnight,2025-11-05,2025-11-04,2025-11-05,29.22,OnTime
SH000056,O000056,W05,FedEx,Expedited,2025-12-19,2025-12-18,2025-12-21,14.1,Late
SH000057,O000057,W05,UPS,Expedited,2025-11-06,2025-11-04,2025-11-07,12.74,Late
SH000058,O000058,W01,DHL,Expedited,2025-12-25,2025-12-24,2025-12-30,13.59,Late
SH000059,O000059,W04,UPS,Overnight,2025-11-29,2025-11-30,2025-12-01,19.55,Late
SH000060,O000060,W02,DHL,Std,2025-12-03,2025-11-28,2025-12-05,6.01,Late
SH000061,O000061,W05,USPS,Std,2025-12-25,2025-12-20,2025-12-26,6.47,Late
SH000062,O000062,W02,USPS,Std,2025-11-20,2025-11-16,2025-11-21,5.46,Late
SH000063,O000063,W01,DHL,Std,2025-12-03,2025-11-29,2025-12-04,7.25,Late
SH000064,O000064,W03,UPS,Std,2025-11-17,2025-11-12,2025-11-18,9.57,Late
SH000065,O000065,W02,DHL,Std,2025-12-03,2025-11-29,2025-12-05,4.06,Late
SH000066,O000066,W01,UPS,Std,2025-12-27,2025-12-24,2025-12-29,8.87,Late
SH000067,O000067,W01,USPS,Expedited,2025-12-01,2025-11-29,2025-12-02,13.23,Late
SH000068,O000068,W05,DHL,BOPIS,2025-11-26,2025-11-26,2025-11-26,0.0,OnTime
SH000069,O000069,W04,DHL,Std,2025-12-15,2025-12-10,2025-12-17,11.99,Late
SH000070,O000070,W04,FedEx,Expedited,2025-12-04,2025-12-02,2025-12-05,11.68,Late
SH000071,O000071,W01,DHL,Std,2025-12-11,2025-12-07,2025-12-12,11.98,Late
SH000072,O000072,W03,DHL,Std,2025-12-06,2025-12-03,2025-12-07,10.87,Late
SH000073,O000073,W01,FedEx,Std,2025-12-26,2025-12-23,2026-01-01,7.99,Late
SH000074,O000074,W03,USPS,Std,2025-11-14,2025-11-09,2025-11-14,5.1,OnTime
SH000075,O000075,W04,USPS,Std,2025-12-16,2025-12-13,2025-12-20,4.23,Late
SH000076,O000076,W01,FedEx,Expedited,2025-12-27,2025-12-24,2025-12-27,11.84,OnTime
SH000077,O000077,W03,UPS,Std,2025-12-03,2025-11-28,2025-12-04,9.63,Late
SH000078,O000078,W03,UPS,Std,2025-12-26,2025-12-23,2026-01-02,5.84,Late
SH000079,O000079,W02,USPS,Std,2026-01-02,2025-12-28,2026-01-02,4.19,OnTime
SH000080,O000080,W02,USPS,Expedited,2025-12-04,2025-12-02,2025-12-05,10.07,Late
SH000081,O000081,W01,FedEx,Std,2025-11-25,2025-11-20,2025-11-27,10.86,Late
SH000082,O000082,W01,UPS,Expedited,2025-12-01,2025-11-28,2025-11-30,19.82,OnTime
SH000083,O000083,W05,DHL,Std,2025-12-29,2025-12-25,2025-12-30,4.14,Late
SH000084,O000084,W03,USPS,Std,2025-12-03,2025-11-30,2025-12-07,9.62,Late
SH000085,O000085,W02,FedEx,Std,2025-12-26,2025-12-21,2025-12-28,8.75,Late
SH000086,O000086,W02,FedEx,Std,2025-11-14,2025-11-11,2025-11-18,10.95,Late
SH000087,O000087,W04,UPS,Std,2025-12-03,2025-11-28,2025-12-02,5.95,OnTime
SH000088,O000088,W02,USPS,Expedited,2026-01-06,2026-01-05,2026-01-07,10.12,Late
SH000089,O000089,W01,UPS,Expedited,2025-11-28,2025-11-27,2025-11-30,16.46,Late
SH000090,O000090,W03,UPS,Expedited,2025-11-17,2025-11-14,2025-11-16,17.24,OnTime
SH000091,O000091,W01,FedEx,Expedited,2025-11-14,2025-11-13,2025-11-16,14.42,Late
SH000092,O000092,W01,DHL,Std,2025-12-03,2025-11-28,2025-12-04,6.96,Late
SH000093,O000093,W02,USPS,Std,2025-12-06,2025-12-01,2025-12-06,11.26,OnTime
SH000094,O000094,W04,DHL,Std,2025-11-30,2025-11-27,2025-12-03,7.5,Late
SH000095,O000095,W03,USPS,Std,2025-12-13,2025-12-08,2025-12-13,11.62,OnTime
SH000096,O000096,W01,USPS,Std,2025-11-29,2025-11-26,2025-12-01,7.89,Late
SH000097,O000097,W01,USPS,Std,2025-11-25,2025-11-22,2025-11-28,11.3,Late
SH000098,O000098,W05,USPS,Std,2026-01-09,2026-01-04,2026-01-08,7.04,OnTime
SH000099,O000099,W04,FedEx,Expedited,2025-12-04,2025-12-01,2025-12-04,14.41,OnTime
SH000100,O000100,W01,DHL,Std,2025-11-20,2025-11-17,2025-11-23,4.37,Late
SH000101,O000101,W04,UPS,Std,2026-01-05,2026-01-02,2026-01-06,4.23,Late
SH000102,O000102,W01,UPS,Expedited,2025-12-01,2025-11-28,2025-11-30,11.34,OnTime
SH000103,O000103,W03,DHL,Expedited,2025-11-12,2025-11-09,2025-11-11,10.36,OnTime
SH000104,O000104,W04,DHL,Expedited,2025-12-29,2025-12-28,2025-12-30,13.27,Late
SH000105,O000105,W05,FedEx,Std,2025-11-12,2025-11-09,2025-11-15,10.86,Late
SH000106,O000106,W04,FedEx,Std,2026-01-02,2025-12-28,2026-01-02,9.24,OnTime
SH000107,O000107,W03,DHL,Std,2025-12-28,2025-12-25,2026-01-01,8.04,Late
SH000108,O000108,W01,UPS,Expedited,2025-11-28,2025-11-27,2025-11-29,19.25,Late
SH000109,O000109,W01,USPS,Std,2025-12-25,2025-12-22,2025-12-27,11.83,Late
SH000110,O000110,W02,DHL,Expedited,2025-12-01,2025-11-28,2025-12-01,9.24,OnTime
SH000111,O000111,W03,USPS,Std,2026-01-03,2025-12-30,2026-01-05,9.86,Late
SH000112,O000112,W05,DHL,Std,2025-12-01,2025-11-28,2025-12-04,10.28,Late
SH000113,O000113,W02,DHL,Std,2025-11-29,2025-11-24,2025-11-28,10.78,OnTime
SH000114,O000114,W03,UPS,Expedited,2025-11-29,2025-11-28,2025-11-30,15.13,Late
SH000115,O000115,W02,UPS,Std,2025-11-16,2025-11-12,2025-11-19,4.33,Late
SH000116,O000116,W02,FedEx,Std,2025-12-27,2025-12-24,2025-12-28,10.14,Late
SH000117,O000117,W04,UPS,Expedited,2025-11-20,2025-11-19,2025-11-21,14.0,Late
SH000118,O000118,W01,UPS,Overnight,2025-11-29,2025-11-30,2025-12-01,23.26,Late
SH000119,O000119,W01,USPS,Std,2025-12-29,2025-12-26,2026-01-02,7.68,Late
SH000120,O000120,W02,UPS,Std,2025-12-15,2025-12-11,2025-12-17,7.81,Late
SH000121,O000121,W02,FedEx,Std,2025-12-05,2025-12-02,2025-12-06,7.06,Late
SH000122,O000122,W01,FedEx,Std,2025-12-07,2025-12-03,2025-12-10,5.61,Late
SH000123,O000123,W02,UPS,Std,2025-11-16,2025-11-13,2025-11-17,6.6,Late
SH000124,O000124,W05,DHL,Std,2025-11-27,2025-11-22,2025-11-29,7.74,Late
SH000125,O000125,W02,FedEx,Std,2025-11-06,2025-11-02,2025-11-08,6.46,Late
SH000126,O000126,W02,UPS,Overnight,2026-01-03,2026-01-04,2026-01-05,29.11,Late
SH000127,O000127,W02,DHL,Std,2025-12-03,2025-11-30,2025-12-07,9.17,Late
SH000128,O000128,W02,DHL,Expedited,2025-12-26,2025-12-24,2025-12-26,10.44,OnTime
SH000129,O000129,W04,UPS,Std,2025-12-18,2025-12-13,2025-12-17,5.76,OnTime
SH000130,O000130,W03,DHL,Expedited,2025-12-26,2025-12-24,2025-12-27,11.96,Late
SH000131,O000131,W05,DHL,Std,2025-12-31,2025-12-28,2026-01-02,6.0,Late
SH000132,O000132,W05,UPS,Std,2025-12-18,2025-12-15,2025-12-19,8.01,Late
SH000133,O000133,W01,FedEx,Std,2026-01-07,2026-01-02,2026-01-08,8.22,Late
SH000134,O000134,W04,FedEx,Std,2025-12-16,2025-12-12,2025-12-19,6.07,Late
SH000135,O000135,W01,UPS,Std,2026-01-05,2026-01-01,2026-01-08,4.73,Late
SH000136,O000136,W02,FedEx,BOPIS,2025-11-23,2025-11-23,2025-11-23,0.0,OnTime
SH000137,O000137,W02,DHL,Std,2025-11-30,2025-11-25,2025-11-29,10.56,OnTime
SH000138,O000138,W01,FedEx,Std,2025-12-14,2025-12-10,2025-12-15,4.21,Late
SH000139,O000139,W02,UPS,Std,2025-12-19,2025-12-14,2025-12-18,6.32,OnTime
SH000140,O000140,W02,DHL,Expedited,2025-11-23,2025-11-21,2025-11-24,12.52,Late
SH000141,O000141,W03,FedEx,Std,2026-01-09,2026-01-06,2026-01-12,6.43,Late
SH000142,O000142,W02,DHL,Overnight,2025-11-07,2025-11-06,2025-11-07,31.88,OnTime
SH000143,O000143,W02,UPS,Expedited,2025-11-27,2025-11-24,2025-11-27,13.82,OnTime
SH000144,O000144,W04,USPS,Expedited,2025-12-04,2025-12-03,2025-12-05,13.1,Late
SH000145,O000145,W04,UPS,Std,2025-11-26,2025-11-21,2025-11-25,11.54,OnTime
SH000146,O000146,W02,UPS,Std,2025-12-06,2025-12-01,2025-12-06,7.01,OnTime
SH000147,O000147,W05,FedEx,Std,2025-11-11,2025-11-07,2025-11-12,9.03,Late
SH000148,O000148,W03,UPS,Expedited,2025-12-16,2025-12-15,2025-12-18,19.95,Late
SH000149,O000149,W04,USPS,Std,2025-12-15,2025-12-11,2025-12-17,6.49,Late
SH000150,O000150,W04,USPS,Overnight,2025-12-30,2025-12-29,2025-12-30,31.11,OnTime
SH000151,O000151,W03,FedEx,Std,2025-12-08,2025-12-05,2025-12-09,7.1,Late
SH000152,O000152,W02,FedEx,Expedited,2025-12-23,2025-12-20,2025-12-22,16.72,OnTime
SH000153,O000153,W03,FedEx,Std,2025-12-05,2025-12-02,2025-12-06,8.98,Late
SH000154,O000154,W03,DHL,Std,2025-12-06,2025-12-03,2025-12-08,4.59,Late
SH000155,O000155,W03,UPS,Overnight,2025-12-25,2025-12-24,2025-12-28,21.35,Late
SH000156,O000156,W02,DHL,Std,2025-12-27,2025-12-22,2025-12-30,11.12,Late
SH000157,O000157,W05,DHL,Std,2025-12-09,2025-12-06,2025-12-13,8.01,Late
SH000158,O000158,W04,UPS,Expedited,2025-12-08,2025-12-06,2025-12-08,13.22,OnTime
SH000159,O000159,W04,FedEx,Std,2025-12-06,2025-12-03,2025-12-09,8.55,Late
SH000160,O000160,W01,FedEx,Std,2025-12-21,2025-12-16,2025-12-21,5.76,OnTime
SH000161,O000161,W01,USPS,Overnight,2025-11-29,2025-11-29,2025-11-30,19.06,Late
SH000162,O000162,W05,UPS,Std,2025-12-06,2025-12-03,2025-12-07,11.34,Late
SH000163,O000163,W02,DHL,Std,2025-12-26,2025-12-21,2025-12-27,4.88,Late
SH000164,O000164,W01,DHL,Overnight,2025-12-15,2025-12-16,2025-12-17,26.71,Late
SH000165,O000165,W01,UPS,Std,2025-12-11,2025-12-07,2025-12-13,7.39,Late
SH000166,O000166,W04,UPS,Std,2025-11-27,2025-11-23,2025-11-29,11.77,Late
SH000167,O000167,W02,UPS,Std,2025-12-01,2025-11-28,2025-12-02,7.66,Late
SH000168,O000168,W02,UPS,Std,2026-01-02,2025-12-30,2026-01-06,11.7,Late
SH000169,O000169,W03,DHL,Std,2025-12-03,2025-11-30,2025-12-05,8.45,Late
SH000170,O000170,W02,UPS,Std,2025-12-25,2025-12-20,2025-12-27,10.18,Late
SH000171,O000171,W01,UPS,Std,2025-12-06,2025-12-03,2025-12-10,10.65,Late
SH000172,O000172,W04,DHL,Std,2025-12-26,2025-12-22,2025-12-26,9.28,OnTime
SH000173,O000173,W02,FedEx,Expedited,2025-11-14,2025-11-11,2025-11-13,14.27,OnTime
SH000174,O000174,W01,DHL,Std,2025-12-03,2025-11-30,2025-12-06,7.91,Late
SH000175,O000175,W01,DHL,Std,2025-12-05,2025-12-01,2025-12-05,11.81,OnTime
SH000176,O000176,W03,DHL,Std,2026-01-08,2026-01-05,2026-01-12,10.09,Late
SH000177,O000177,W04,DHL,Overnight,2025-12-26,2025-12-27,2025-12-28,22.03,Late
SH000178,O000178,W02,USPS,Overnight,2025-12-03,2025-12-03,2025-12-04,19.84,Late
SH000179,O000179,W01,FedEx,Expedited,2025-12-02,2025-11-30,2025-12-03,19.82,Late
SH000180,O000180,W04,USPS,Std,2025-12-01,2025-11-28,2025-12-05,9.98,Late
SH000181,O000181,W05,USPS,Std,2025-12-27,2025-12-24,2025-12-31,4.45,Late
SH000182,O000182,W01,USPS,Std,2025-12-19,2025-12-16,2025-12-22,5.21,Late
SH000183,O000183,W03,FedEx,Std,2025-12-10,2025-12-07,2025-12-11,11.83,Late
SH000184,O000184,W04,DHL,Std,2025-12-03,2025-11-30,2025-12-07,8.01,Late
SH000185,O000185,W04,DHL,Expedited,2025-12-11,2025-12-08,2025-12-10,13.89,OnTime
SH000186,O000186,W05,USPS,Std,2025-12-03,2025-11-30,2025-12-05,8.87,Late
SH000187,O000187,W02,DHL,Expedited,2025-12-01,2025-11-29,2025-12-02,15.22,Late
SH000188,O000188,W04,DHL,Expedited,2025-12-11,2025-12-08,2025-12-10,17.71,OnTime
SH000189,O000189,W02,DHL,Overnight,2025-12-14,2025-12-15,2025-12-16,24.26,Late
SH000190,O000190,W02,DHL,Std,2025-11-10,2025-11-07,2025-11-11,6.3,Late
SH000191,O000191,W03,USPS,Std,2025-12-03,2025-11-28,2025-12-03,5.65,OnTime
SH000192,O000192,W01,USPS,Overnight,2025-12-30,2025-12-30,2025-12-31,29.38,Late
SH000193,O000193,W02,UPS,Std,2025-12-26,2025-12-23,2025-12-29,10.74,Late
SH000194,O000194,W05,UPS,Std,2026-01-02,2025-12-28,2026-01-02,4.1,OnTime
SH000195,O000195,W05,FedEx,Std,2025-12-09,2025-12-05,2025-12-12,5.97,Late
SH000196,O000196,W03,USPS,Std,2025-12-20,2025-12-15,2025-12-21,10.19,Late
SH000197,O000197,W01,FedEx,Std,2025-12-03,2025-11-28,2025-12-03,11.51,OnTime
SH000198,O000198,W03,DHL,Std,2025-11-06,2025-11-01,2025-11-05,8.15,OnTime
SH000199,O000199,W04,FedEx,Expedited,2025-12-15,2025-12-13,2025-12-16,14.39,Late
SH000200,O000200,W01,FedEx,Overnight,2025-11-27,2025-11-26,2025-11-27,34.53,OnTime
SH000201,O000201,W03,UPS,Std,2025-12-06,2025-12-02,2025-12-07,9.76,Late
SH000202,O000202,W01,UPS,Overnight,2025-12-02,2025-12-02,2025-12-03,31.68,Late
SH000203,O000203,W02,DHL,Expedited,2025-12-24,2025-12-21,2025-12-23,18.76,OnTime
SH000204,O000204,W01,USPS,Std,2025-12-03,2025-11-29,2025-12-05,8.98,Late
SH000205,O000205,W05,DHL,Std,2025-11-06,2025-11-01,2025-11-06,8.27,OnTime
SH000206,O000206,W01,DHL,Expedited,2025-11-14,2025-11-13,2025-11-15,12.35,Late
SH000207,O000207,W05,FedEx,Expedited,2025-12-25,2025-12-24,2025-12-30,17.05,Late
SH000208,O000208,W05,DHL,Std,2025-12-03,2025-11-30,2025-12-06,11.48,Late
SH000209,O000209,W04,USPS,Std,2025-11-10,2025-11-05,2025-11-11,8.57,Late
SH000210,O000210,W05,UPS,Std,2025-12-16,2025-12-13,2025-12-19,9.06,Late
SH000211,O000211,W05,DHL,Std,2025-11-08,2025-11-03,2025-11-10,8.5,Late
SH000212,O000212,W03,UPS,Std,2026-01-03,2025-12-29,2026-01-02,4.86,OnTime
SH000213,O000213,W05,USPS,Std,2025-12-24,2025-12-19,2025-12-23,7.91,OnTime
SH000214,O000214,W02,FedEx,Overnight,2025-11-03,2025-11-04,2025-11-05,30.99,Late
SH000215,O000215,W05,UPS,Expedited,2025-12-31,2025-12-30,2026-01-02,14.57,Late
SH000216,O000216,W04,DHL,Expedited,2025-12-04,2025-12-01,2025-12-04,9.61,OnTime
SH000217,O000217,W01,DHL,Std,2025-12-12,2025-12-09,2025-12-16,6.34,Late
SH000218,O000218,W02,UPS,Std,2025-12-29,2025-12-25,2025-12-30,8.38,Late
SH000219,O000219,W02,DHL,Std,2025-11-26,2025-11-21,2025-11-27,4.97,Late
SH000220,O000220,W04,USPS,Std,2025-12-25,2025-12-21,2025-12-25,8.47,OnTime
SH000221,O000221,W05,USPS,Std,2025-12-30,2025-12-25,2026-01-01,7.14,Late
SH000222,O000222,W01,DHL,Std,2025-12-03,2025-11-30,2025-12-07,7.07,Late
SH000223,O000223,W04,UPS,Expedited,2025-12-19,2025-12-17,2025-12-19,16.17,OnTime
SH000224,O000224,W01,USPS,Expedited,2026-01-08,2026-01-05,2026-01-08,10.98,OnTime
SH000225,O000225,W03,UPS,Std,2025-12-01,2025-11-26,2025-12-02,4.81,Late
SH000226,O000226,W04,UPS,Std,2025-12-25,2025-12-21,2025-12-28,4.54,Late
SH000227,O000227,W04,UPS,Std,2025-12-03,2025-11-30,2025-12-04,4.2,Late
SH000228,O000228,W04,DHL,Std,2025-12-27,2025-12-24,2025-12-31,6.46,Late
SH000229,O000229,W02,FedEx,Overnight,2025-11-15,2025-11-16,2025-11-17,32.98,Late
SH000230,O000230,W05,FedEx,Overnight,2025-12-21,2025-12-22,2025-12-23,24.31,Late
SH000231,O000231,W02,USPS,Std,2025-12-12,2025-12-08,2025-12-14,9.31,Late
SH000232,O000232,W01,USPS,Std,2025-12-30,2025-12-27,2026-01-01,11.45,Late
SH000233,O000233,W01,DHL,Std,2025-12-26,2025-12-21,2025-12-26,7.0,OnTime
SH000234,O000234,W01,FedEx,Std,2025-11-15,2025-11-11,2025-11-18,10.43,Late
SH000235,O000235,W02,DHL,Std,2025-12-15,2025-12-11,2025-12-17,11.11,Late
SH000236,O000236,W01,FedEx,Std,2025-11-18,2025-11-13,2025-11-18,8.95,OnTime
SH000237,O000237,W02,FedEx,Expedited,2026-01-07,2026-01-04,2026-01-07,16.32,OnTime
SH000238,O000238,W02,DHL,Std,2025-12-25,2025-12-20,2025-12-27,11.42,Late
SH000239,O000239,W01,FedEx,Expedited,2025-11-20,2025-11-17,2025-11-20,19.86,OnTime
SH000240,O000240,W02,UPS,Std,2025-12-26,2025-12-23,2025-12-30,6.08,Late
SH000241,O000241,W05,FedEx,Expedited,2025-12-01,2025-11-28,2025-12-01,13.57,OnTime
SH000242,O000242,W04,USPS,BOPIS,2025-12-13,2025-12-13,2025-12-13,0.0,OnTime
SH000243,O000243,W04,FedEx,Overnight,2025-11-29,2025-11-30,2025-12-01,25.19,Late
SH000244,O000244,W05,USPS,Std,2025-12-03,2025-11-30,2025-12-05,10.94,Late
SH000245,O000245,W05,FedEx,Std,2025-11-14,2025-11-11,2025-11-18,6.16,Late
SH000246,O000246,W04,DHL,Expedited,2025-12-04,2025-12-02,2025-12-05,10.66,Late
SH000247,O000247,W01,DHL,Expedited,2025-12-24,2025-12-23,2025-12-28,17.02,Late
SH000248,O000248,W04,FedEx,Std,2025-12-21,2025-12-18,2025-12-25,6.22,Late
SH000249,O000249,W05,USPS,Std,2025-11-08,2025-11-05,2025-11-11,11.66,Late
SH000250,O000250,W02,UPS,Std,2025-12-06,2025-12-01,2025-12-06,10.26,OnTime
SH000251,O000251,W05,FedEx,Std,2025-12-03,2025-11-30,2025-12-04,4.25,Late
SH000252,O000252,W03,DHL,Std,2026-01-06,2026-01-03,2026-01-08,10.06,Late
SH000253,O000253,W02,FedEx,Expedited,2025-11-22,2025-11-21,2025-11-23,19.28,Late
SH000254,O000254,W01,UPS,Std,2026-01-07,2026-01-04,2026-01-08,6.83,Late
SH000255,O000255,W05,DHL,Std,2025-12-23,2025-12-19,2025-12-25,11.68,Late
SH000256,O000256,W02,USPS,Overnight,2025-11-29,2025-11-30,2025-12-01,22.58,Late
SH000257,O000257,W01,FedEx,Std,2025-12-06,2025-12-02,2025-12-09,7.38,Late
SH000258,O000258,W05,DHL,Overnight,2025-12-24,2025-12-24,2025-12-28,21.85,Late
SH000259,O000259,W01,UPS,Overnight,2025-11-18,2025-11-17,2025-11-18,21.67,OnTime
SH000260,O000260,W03,DHL,Std,2025-11-30,2025-11-27,2025-12-04,8.14,Late
SH000261,O000261,W04,FedEx,Std,2025-12-06,2025-12-03,2025-12-07,5.6,Late
SH000262,O000262,W03,FedEx,Std,2025-12-03,2025-11-29,2025-12-03,9.1,OnTime
SH000263,O000263,W03,FedEx,Std,2025-12-21,2025-12-17,2025-12-24,7.09,Late
SH000264,O000264,W03,DHL,Std,2025-11-16,2025-11-12,2025-11-18,11.63,Late
SH000265,O000265,W04,UPS,Overnight,2025-11-30,2025-11-29,2025-11-30,24.54,OnTime
SH000266,O000266,W03,UPS,Expedited,2025-12-04,2025-12-01,2025-12-04,12.15,OnTime
SH000267,O000267,W02,USPS,Std,2025-11-29,2025-11-24,2025-12-01,8.34,Late
SH000268,O000268,W04,DHL,Expedited,2025-12-08,2025-12-06,2025-12-08,9.98,OnTime
SH000269,O000269,W01,UPS,Std,2025-12-17,2025-12-12,2025-12-18,5.08,Late
SH000270,O000270,W02,DHL,Std,2025-12-03,2025-11-28,2025-12-02,9.7,OnTime
SH000271,O000271,W03,UPS,Std,2025-12-03,2025-11-29,2025-12-04,4.06,Late
SH000272,O000272,W03,FedEx,Std,2026-01-02,2025-12-29,2026-01-03,7.9,Late
SH000273,O000273,W05,UPS,Std,2025-12-25,2025-12-21,2025-12-27,11.91,Late
SH000274,O000274,W05,USPS,Std,2025-12-27,2025-12-22,2025-12-30,8.73,Late
SH000275,O000275,W04,FedEx,Expedited,2025-12-25,2025-12-24,2025-12-27,11.12,Late
SH000276,O000276,W03,FedEx,Std,2025-12-09,2025-12-04,2025-12-08,9.66,OnTime
SH000277,O000277,W03,DHL,Std,2025-12-03,2025-11-28,2025-12-05,5.7,Late
SH000278,O000278,W02,USPS,Std,2025-12-21,2025-12-17,2025-12-22,6.17,Late
SH000279,O000279,W02,UPS,Overnight,2025-11-03,2025-11-02,2025-11-03,33.95,OnTime
SH000280,O000280,W02,USPS,BOPIS,2025-12-28,2025-12-28,2025-12-28,0.0,OnTime
SH000281,O000281,W05,USPS,Std,2025-11-21,2025-11-17,2025-11-22,9.68,Late
SH000282,O000282,W05,DHL,Std,2025-11-07,2025-11-03,2025-11-09,4.09,Late
SH000283,O000283,W04,DHL,Std,2025-11-20,2025-11-17,2025-11-24,9.15,Late
SH000284,O000284,W02,DHL,Expedited,2025-11-07,2025-11-05,2025-11-08,15.61,Late
SH000285,O000285,W05,DHL,Expedited,2025-12-27,2025-12-25,2025-12-28,17.54,Late
SH000286,O000286,W04,UPS,Std,2025-11-07,2025-11-02,2025-11-06,8.33,OnTime
