ReturnID,OrderLineID,ReturnDate,ReasonCode,Condition,Refund$,RestockFee$,ReturnShipCost$,Disposition
R0000098,OL0000949,2025-12-29,Other,New,81.31,9.4,3.04,Resell
R0000099,OL0000953,2025-12-20,Changed Mind,New,546.61,8.59,1.6,Resell
R0000100,OL0000986,2026-01-20,Changed Mind,New,126.41,4.91,1.32,Resell
R0000101,OL0000991,2026-01-04,Late Delivery,New,341.54,5.09,3.94,Resell
R0000102,OL0001005,2025-12-06,Other,New,21.09,4.33,1.87,Resell
R0000103,OL0001009,2026-01-21,Defective,Opened,717.23,3.48,8.91,Write-off
R0000104,OL0001021,2026-01-05,Defective,New,649.72,4.85,1.41,Resell
R0000105,OL0001038,2026-01-10,Other,Opened,7.07,1.79,6.62,Write-off
R0000106,OL0001048,2026-01-04,Wrong Size,New,526.92,6.45,8.95,Resell
R0000107,OL0001050,2025-12-24,Changed Mind,New,297.38,4.35,8.33,Resell
R0000108,OL0001052,2025-12-27,Late Delivery,Opened,617.06,3.01,5.27,Write-off
R0000109,OL0001069,2025-12-08,Wrong Size,New,119.62,3.81,7.34,Resell
R0000110,OL0001086,2025-12-14,Late Delivery,Opened,141.9,9.43,9.65,Write-off
R0000111,OL0001088,2026-01-21,Late Delivery,New,145.83,1.93,3.96,Resell
R0000112,OL0001089,2026-01-26,Defective,Opened,354.75,1.0,6.97,Write-off
R0000113,OL0001102,2026-01-05,Defective,New,117.24,6.12,3.62,Resell
R0000114,OL0001103,2025-12-16,Late Delivery,New,218.21,6.18,9.75,Resell
R0000115,OL0001110,2025-12-17,Changed Mind,Opened,196.78,7.4,2.55,Write-off
R0000116,OL0001116,2025-12-01,Other,New,31.6,2.07,8.8,Resell
R0000117,OL0001126,2025-12-03,Changed Mind,Opened,243.37,5.13,0.51,Write-off
R0000118,OL0001158,2026-01-09,Wrong Size,Opened,12.71,1.65,2.63,Write-off
R0000119,OL0001168,2026-01-27,Defective,Damaged,289.85,0.24,6.15,Write-off
R0000120,OL0001170,2026-01-19,Late Delivery,New,80.1,0.23,7.93,Resell
R0000121,OL0001187,2025-12-21,Wrong Size,New,169.3,8.94,1.76,Resell
R0000122,OL0001194,2026-01-27,Defective,New,304.75,3.01,6.46,Resell
R0000123,OL0001196,2026-01-22,Defective,New,288.92,2.61,9.25,Resell
R0000124,OL0001197,2025-12-18,Defective,New,655.35,7.83,1.27,Resell
R0000125,OL0001216,2026-01-28,Wrong Size,Opened,33.42,4.72,3.91,Write-off
R0000126,OL0001224,2026-01-06,Changed Mind,New,17.42,0.9,5.51,Resell
R0000127,OL0001225,2026-01-19,Changed Mind,New,183.78,3.75,6.98,Resell
R0000128,OL0001228,2025-12-10,Wrong Size,Damaged,146.12,1.66,2.1,Write-off
R0000129,OL0001230,2025-12-27,Wrong Size,New,215.82,7.06,7.71,Resell
R0000130,OL0001234,2025-12-29,Wrong Size,New,162.37,8.71,2.19,Resell
R0000131,OL0001238,2025-12-30,Wrong Size,New,186.63,5.94,4.25,Resell
R0000132,OL0001242,2025-12-30,Late Delivery,New,58.02,9.53,4.63,Resell
R0000133,OL0001257,2026-01-08,Other,Opened,694.26,1.71,6.56,Write-off
R0000134,OL0001261,2025-11-25,Wrong Size,New,147.03,9.42,5.05,Resell
R0000135,OL0001262,2025-12-05,Defective,Damaged,495.13,5.23,7.08,Write-off
R0000136,OL0001263,2025-11-21,Changed Mind,Opened,229.58,2.48,3.57,Write-off
R0000137,OL0001271,2025-12-07,Changed Mind,Opened,142.56,8.64,7.25,Write-off
R0000138,OL0001275,2025-12-17,Other,New,118.71,4.1,9.59,Resell
R0000139,OL0001282,2026-01-02,Defective,New,82.53,8.52,2.98,Resell
R0000140,OL0001283,2025-12-16,Wrong Size,New,702.97,2.63,1.78,Resell
R0000141,OL0001309,2025-12-07,Changed Mind,New,152.4,3.88,1.37,Resell
R0000142,OL0001327,2025-12-26,Wrong Size,Opened,120.99,3.1,6.8,Write-off
R0000143,OL0001339,2025-12-22,Defective,New,93.31,8.29,9.81,Resell
R0000144,OL0001343,2025-11-28,Wrong Size,New,348.24,2.86,0.67,Resell
R0000145,OL0001359,2026-01-16,Wrong Size,Opened,195.04,5.46,0.0,Write-off
R0000146,OL0001360,2026-01-08,Changed Mind,Opened,240.76,7.36,7.43,Write-off
R0000147,OL0001365,2026-01-01,Other,New,216.18,4.63,1.12,Resell
R0000148,OL0001366,2025-12-31,Late Delivery,New,58.94,7.75,1.24,Resell
R0000149,OL0001382,2026-01-19,Defective,New,50.8,8.13,7.4,Resell
R0000150,OL0001383,2026-01-22,Changed Mind,Opened,225.0,0.87,3.55,Write-off
R0000151,OL0001384,2026-02-10,Wrong Size,Damaged,436.55,5.74,4.12,Write-off
R0000152,OL0001401,2025-12-28,Changed Mind,New,655.23,7.24,6.9,Resell
R0000153,OL0001411,2025-11-22,Late Delivery,Opened,312.63,5.59,4.69,Write-off
R0000154,OL0001413,2025-12-31,Late Delivery,Opened,50.77,0.31,0.5,Write-off
R0000155,OL0001416,2025-12-20,Changed Mind,New,289.42,1.96,2.72,Resell
R0000156,OL0001422,2025-11-24,Changed Mind,New,76.76,2.27,3.01,Resell
R0000157,OL0001426,2026-01-03,Defective,New,437.54,3.94,8.75,Resell
R0000158,OL0001430,2025-12-24,Defective,Damaged,21.48,3.14,0.96,Write-off
R0000159,OL0001446,2025-12-20,Late Delivery,New,509.21,9.14,7.95,Resell
R0000160,OL0001470,2026-01-08,Defective,Opened,328.63,4.01,5.85,Write-off
R0000161,OL0001471,2025-11-19,Late Delivery,New,64.93,2.92,8.54,Resell
R0000162,OL0001477,2025-12-08,Changed Mind,Opened,62.94,9.04,0.6,Write-off
R0000163,OL0001483,2026-01-02,Changed Mind,Opened,551.85,6.09,8.41,Write-off
R0000164,OL0001506,2026-01-04,Defective,Opened,183.93,5.27,5.31,Write-off
R0000165,OL0001507,2025-12-24,Changed Mind,Opened,74.76,7.42,9.24,Write-off
R0000166,OL0001518,2025-12-17,Late Delivery,New,13.96,6.74,5.55,Resell
R0000167,OL0001532,2025-12-26,Wrong Size,New,204.27,1.31,3.45,Resell
R0000168,OL0001534,2025-12-19,Late Delivery,Opened,270.32,3.83,4.19,Write-off
R0000169,OL0001535,2025-12-05,Other,New,525.95,3.91,2.16,Resell
R0000170,OL0001537,2026-01-02,Late Delivery,New,117.31,1.73,6.11,Resell
R0000171,OL0001559,2025-12-11,Other,New,89.94,6.85,4.57,Resell
R0000172,OL0001570,2025-12-26,Changed Mind,New,240.85,4.18,3.57,Resell
R0000173,OL0001583,2026-01-03,Defective,New,298.26,7.91,8.03,Resell
R0000174,OL0001588,2026-01-15,Late Delivery,Opened,0.0,7.96,3.86,Write-off
R0000175,OL0001591,2026-01-22,Defective,Opened,126.57,2.56,7.47,Write-off
R0000176,OL0001594,2025-12-30,Defective,New,199.76,8.85,1.29,Resell
R0000177,OL0001600,2026-01-03,Changed Mind,Opened,396.03,4.59,7.8,Write-off
R0000178,OL0001604,2025-12-29,Wrong Size,Opened,202.23,4.62,9.68,Write-off
R0000179,OL0001608,2025-12-14,Changed Mind,Opened,1.27,2.62,8.61,Write-off
R0000180,OL0001623,2025-12-11,Changed Mind,Opened,158.13,8.21,7.46,Write-off
R0000181,OL0001633,2025-12-15,Wrong Size,New,216.21,7.08,1.3,Resell
R0000182,OL0001639,2025-11-15,Wrong Size,New,170.21,1.94,3.82,Resell
R0000183,OL0001640,2025-12-09,Late Delivery,Opened,142.98,1.76,0.19,Write-off
R0000184,OL0001646,2026-01-03,Other,Opened,118.05,6.79,3.32,Write-off
R0000185,OL0001656,2025-12-25,Wrong Size,Opened,154.36,3.98,1.8,Write-off
R0000186,OL0001669,2025-12-11,Late Delivery,New,162.92,0.4,8.81,Resell
R0000187,OL0001682,2025-12-25,Late Delivery,New,28.77,3.22,6.54,Resell
R0000188,OL0001687,2025-12-29,Wrong Size,Opened,471.89,4.44,6.67,Write-off
R0000189,OL0001694,2025-11-20,Changed Mind,Damaged,179.3,0.93,4.29,Write-off
R0000190,OL0001709,2026-01-25,Late Delivery,Opened,228.33,7.79,0.33,Write-off
R0000191,OL0001710,2026-01-07,Changed Mind,New,337.25,7.66,8.4,Resell
R0000192,OL0001725,2025-12-03,Late Delivery,New,194.68,6.93,4.86,Resell
R0000193,OL0001732,2025-12-18,Defective,New,131.75,7.98,3.98,Resell
R0000194,OL0001738,2025-12-30,Defective,Opened,409.16,0.81,6.38,Write-off
R0000195,OL0001739,2026-01-11,Changed Mind,Opened,227.39,1.03,6.92,Write-off
R0000196,OL0001753,2025-12-16,Wrong Size,New,32.88,0.7,2.49,Resell
R0000197,OL0001760,2026-01-02,Changed Mind,New,119.94,6.69,0.7,Resell
R0000198,OL0001775,2025-12-24,Changed Mind,Opened,163.71,2.5,0.85,Write-off
R0000199,OL0001776,2025-12-30,Late Delivery,Opened,150.29,4.43,1.24,Write-off
R0000200,OL0001783,2025-12-07,Defective,Opened,186.92,6.41,1.43,Write-off
R0000201,OL0001803,2025-12-24,Late Delivery,New,186.4,2.22,8.14,Resell
R0000202,OL0001807,2025-12-29,Changed Mind,New,146.32,9.16,8.94,Resell
R0000203,OL0001809,2026-01-17,Wrong Size,Opened,303.2,1.4,0.57,Write-off
R0000204,OL0001811,2025-12-01,Defective,New,248.28,2.84,2.67,Resell
R0000205,OL0001822,2025-11-27,Wrong Size,Opened,288.97,9.92,9.02,Write-off
R0000206,OL0001823,2025-11-23,Defective,New,199.99,0.1,9.1,Resell
R0000207,OL0001825,2026-01-20,Other,New,193.18,2.24,9.21,Resell
R0000208,OL0001826,2025-12-26,Other,Opened,279.91,3.96,8.06,Write-off
R0000209,OL0001829,2026-01-21,Other,Opened,333.3,3.6,4.46,Write-off
R0000210,OL0001845,2026-01-06,Wrong Size,New,61.84,3.67,4.56,Resell
R0000211,OL0001861,2025-12-30,Changed Mind,New,136.06,2.08,6.85,Resell
R0000212,OL0001862,2025-12-04,Changed Mind,Damaged,117.15,3.19,2.62,Write-off
R0000213,OL0001864,2025-11-27,Changed Mind,New,574.39,4.33,7.28,Resell
R0000214,OL0001873,2025-12-14,Defective,Opened,171.63,9.06,8.05,Write-off
R0000215,OL0001892,2025-11-22,Late Delivery,Opened,126.29,6.74,3.7,Write-off
R0000216,OL0001897,2026-01-07,Defective,Damaged,112.47,2.02,5.39,Write-off
R0000217,OL0001910,2025-12-13,Changed Mind,Opened,505.35,8.59,8.65,Write-off
R0000218,OL0001925,2025-12-26,Wrong Size,New,189.9,9.31,2.46,Resell
R0000219,OL0001928,2025-12-25,Wrong Size,Opened,376.49,3.5,2.82,Write-off
R0000220,OL0001930,2025-12-25,Defective,Opened,391.38,8.7,7.98,Write-off
R0000221,OL0001934,2025-12-22,Wrong Size,Opened,177.87,2.9,6.55,Write-off
R0000222,OL0001939,2026-01-24,Late Delivery,New,194.84,9.92,2.98,Resell
R0000223,OL0001949,2026-01-03,Wrong Size,Opened,137.22,1.15,6.35,Write-off
R0000224,OL0001952,2026-01-09,Wrong Size,Opened,0.15,9.57,6.19,Write-off
R0000225,OL0001955,2025-12-06,Defective,Opened,208.32,9.15,3.61,Write-off
R0000226,OL0001976,2025-12-27,Changed Mind,New,272.1,6.67,3.16,Resell
R0000227,OL0001981,2026-01-14,Wrong Size,New,164.87,6.75,6.57,Resell
R0000228,OL0001989,2025-12-26,Wrong Size,Opened,312.77,8.75,4.95,Write-off
R0000229,OL0001990,2025-11-29,Wrong Size,New,166.55,6.02,1.56,Resell
R0000230,OL0002002,2026-01-04,Wrong Size,Opened,477.35,0.67,4.05,Write-off
R0000231,OL0002003,2026-01-10,Changed Mind,New,754.04,0.13,2.84,Resell
R0000232,OL0002004,2026-01-05,Other,Opened,315.16,1.73,4.13,Write-off
R0000233,OL0002008,2025-12-09,Wrong Size,New,244.99,8.14,8.47,Resell
R0000234,OL0002013,2025-12-17,Defective,Opened,0.0,8.59,5.5,Write-off
R0000235,OL0002017,2025-12-27,Changed Mind,Damaged,96.71,7.99,8.4,Write-off
R0000236,OL0002034,2025-12-25,Changed Mind,New,482.97,8.1,5.18,Resell
R0000237,OL0002035,2025-12-05,Wrong Size,New,177.59,0.55,1.59,Resell
R0000238,OL0002043,2026-01-20,Defective,New,118.61,4.07,0.05,Resell
R0000239,OL0002048,2026-01-26,Wrong Size,Opened,165.82,8.37,8.55,Write-off
R0000240,OL0002050,2026-01-11,Other,New,714.36,8.17,3.82,Resell
R0000241,OL0002062,2025-12-09,Late Delivery,Damaged,151.05,0.2,8.44,Write-off
R0000242,OL0002063,2025-12-08,Late Delivery,Opened,91.19,8.62,7.13,Write-off
R0000243,OL0002075,2025-12-21,Defective,Damaged,145.7,3.2,2.53,Write-off
R0000244,OL0002081,2025-11-24,Changed Mind,New,413.14,1.41,3.87,Resell
R0000245,OL0002094,2026-01-28,Wrong Size,Opened,101.12,5.2,7.2,Write-off
R0000246,OL0002100,2026-01-03,Changed Mind,New,129.91,4.99,4.82,Resell
R0000247,OL0002103,2026-01-17,Changed Mind,New,213.73,3.26,1.49,Resell
R0000248,OL0002114,2025-12-15,Late Delivery,Opened,280.89,6.71,7.48,Write-off
R0000249,OL0002115,2025-12-18,Wrong Size,New,286.83,2.9,8.2,Resell
R0000250,OL0002137,2025-12-15,Wrong Size,Opened,24.46,0.18,0.54,Write-off
R0000251,OL0002141,2025-11-13,Defective,Opened,335.45,3.02,4.28,Write-off
R0000252,OL0002143,2025-11-26,Late Delivery,Opened,68.47,7.4,5.66,Write-off
R0000253,OL0002145,2025-12-01,Wrong Size,New,174.73,5.5,1.9,Resell
R0000254,OL0002149,2025-12-04,Changed Mind,Opened,193.58,9.22,6.87,Write-off
R0000255,OL0002166,2025-12-08,Late Delivery,New,290.03,8.77,3.27,Resell
R0000256,OL0002167,2025-12-18,Late Delivery,New,3.71,3.07,3.59,Resell
R0000257,OL0002173,2026-01-09,Changed Mind,New,33.62,7.8,2.64,Resell
R0000258,OL0002174,2026-01-06,Changed Mind,New,328.22,9.82,5.02,Resell
R0000259,OL0002181,2026-01-15,Other,New,184.03,2.75,7.48,Resell
R0000260,OL0002187,2025-12-10,Changed Mind,Damaged,115.98,1.22,9.91,Write-off
R0000261,OL0002197,2025-12-28,Wrong Size,Damaged,403.49,4.21,1.25,Write-off
R0000262,OL0002202,2026-01-25,Late Delivery,Opened,710.55,5.47,5.36,Write-off
R0000263,OL0002205,2026-01-13,Defective,New,170.48,6.15,7.05,Resell
R0000264,OL0002208,2025-12-29,Defective,New,257.96,5.21,3.27,Resell
R0000265,OL0002232,2026-01-23,Changed Mind,New,7.25,6.67,0.88,Resell
R0000266,OL0002233,2025-12-30,Defective,Opened,335.22,2.03,4.46,Write-off
R0000267,OL0002238,2025-12-25,Wrong Size,New,352.49,3.54,2.83,Resell
R0000268,OL0002239,2025-12-06,Late Delivery,New,111.05,1.15,1.57,Resell
R0000269,OL0002249,2025-12-07,Defective,New,74.7,1.88,2.47,Resell
R0000270,OL0002260,2026-01-03,Late Delivery,New,99.12,5.67,2.85,Resell
R0000271,OL0002290,2025-11-28,Wrong Size,New,27.4,0.31,1.18,Resell
R0000272,OL0002293,2025-12-11,Late Delivery,New,107.02,8.67,3.52,Resell
R0000273,OL0002301,2025-12-02,Late Delivery,New,48.23,3.57,1.97,Resell
R0000274,OL0002303,2026-01-26,Wrong Size,New,3.82,8.61,1.97,Resell
R0000275,OL0002315,2026-01-20,Wrong Size,Opened,312.2,3.5,6.48,Write-off
R0000276,OL0002317,2025-12-28,Changed Mind,New,677.27,1.57,4.85,Resell
R0000277,OL0002329,2026-01-10,Wrong Size,New,58.81,4.96,5.42,Resell
R0000278,OL0002332,2026-01-10,Wrong Size,New,167.69,6.59,1.61,Resell
R0000279,OL0002346,2025-12-29,Wrong Size,New,80.54,7.23,3.07,Resell
R0000280,OL0002349,2026-01-19,Changed Mind,New,103.5,6.43,9.56,Resell
R0000281,OL0002361,2026-01-08,Changed Mind,Damaged,100.14,8.78,1.48,Write-off
R0000282,OL0002363,2025-12-31,Wrong Size,New,92.26,3.45,7.77,Resell
R0000283,OL0002375,2025-12-30,Late Delivery,Damaged,359.09,2.75,3.21,Write-off
R0000284,OL0002384,2026-01-04,Wrong Size,New,120.31,6.17,5.03,Resell
R0000285,OL0002389,2026-01-12,Changed Mind,New,369.71,6.03,4.29,Resell
R0000286,OL0002426,2025-12-03,Wrong Size,Opened,163.74,6.51,7.38,Write-off
R0000287,OL0002427,2025-12-16,Changed Mind,Opened,69.47,8.86,1.29,Write-off
R0000288,OL0002446,2026-01-26,Late Delivery,New,213.48,8.76,1.46,Resell
R0000289,OL0002455,2025-12-13,Changed Mind,New,429.35,2.56,9.23,Resell
R0000290,OL0002456,2025-12-02,Late Delivery,Opened,913.8,3.57,8.24,Write-off
R0000291,OL0002466,2025-12-28,Wrong Size,New,25.1,2.61,6.67,Resell
R0000292,OL0002467,2025-12-29,Defective,Opened,15.51,2.41,0.24,Write-off
R0000293,OL0002471,2025-12-22,Changed Mind,Opened,155.07,3.98,6.26,Write-off
R0000294,OL0002474,2025-12-16,Defective,Opened,190.1,0.82,8.97,Write-off
R0000295,OL0002475,2025-11-26,Late Delivery,New,786.42,3.21,8.22,Resell
R0000296,OL0002482,2025-12-25,Late Delivery,New,401.26,1.62,7.75,Resell
R0000297,OL0002490,2026-01-19,Other,New,71.55,0.71,7.63,Resell
R0000298,OL0002504,2026-01-19,Wrong Size,Opened,35.2,9.47,1.84,Write-off
R0000299,OL0002511,2026-01-18,Changed Mind,Opened,2.91,5.09,4.17,Write-off
R0000300,OL0002524,2026-01-02,Defective,New,168.66,0.34,5.55,Resell
R0000301,OL0002527,2026-01-04,Late Delivery,New,76.92,2.35,1.03,Resell
R0000302,OL0002532,2025-12-14,Wrong Size,New,163.68,1.36,5.92,Resell
R0000303,OL0002539,2026-01-12,Defective,Opened,5.25,5.24,6.21,Write-off
R0000304,OL0002547,2026-02-06,Wrong Size,New,614.28,5.64,9.83,Resell
R0000305,OL0002548,2026-01-28,Defective,Damaged,102.37,5.88,2.3,Write-off
R0000306,OL0002556,2026-01-15,Late Delivery,Opened,191.99,0.47,3.01,Write-off
R0000307,OL0002561,2026-01-21,Wrong Size,Opened,517.58,7.84,7.05,Write-off
R0000308,OL0002572,2025-12-05,Other,Opened,324.43,7.66,0.72,Write-off
R0000309,OL0002601,2026-01-13,Wrong Size,Damaged,175.09,7.79,4.49,Write-off
R0000310,OL0002602,2026-01-12,Changed Mind,Opened,111.45,6.05,1.81,Write-off
R0000311,OL0002608,2025-11-29,Defective,Opened,90.98,5.26,5.97,Write-off
R0000312,OL0002633,2025-12-20,Late Delivery,New,185.28,2.93,8.62,Resell
R0000313,OL0002635,2025-12-28,Late Delivery,New,224.59,0.79,2.52,Resell
R0000314,OL0002636,2025-12-26,Other,Opened,96.12,6.75,6.53,Write-off
R0000315,OL0002645,2025-12-05,Wrong Size,New,0.0,7.44,3.87,Resell
R0000316,OL0002647,2025-12-13,Changed Mind,New,16.25,4.5,4.75,Resell
R0000317,OL0002648,2025-11-24,Wrong Size,New,339.77,5.88,8.29,Resell
R0000318,OL0002655,2026-01-01,Wrong Size,Opened,307.81,2.25,8.0,Write-off
R0000319,OL0002658,2025-12-26,Changed Mind,New,96.0,9.74,8.92,Resell
