ProductID,Category,Subcategory,StandardCost,MSRP,Vendor,SeasonalityTag
P000128,Home,Kitchen,126.09,239.61,VendorE,Evergreen
P000129,Apparel,Socks,119.1,226.15,VendorA,Giftable
P000130,Grocery,Chocolate,156.3,290.72,VendorD,Evergreen
P000131,Sports,Cycling,122.61,229.59,VendorC,Giftable
P000132,Beauty,Cosmetics,101.3,196.71,VendorE,Giftable
P000133,Home,Bedding,107.34,186.54,VendorE,Giftable
P000134,Sports,Cycling,157.9,238.39,VendorB,Winter
P000135,Toys,Board Games,107.18,207.02,VendorD,Giftable
P000136,Apparel,Socks,90.68,170.81,VendorA,Evergreen
P000137,Footwear,Boots,141.39,235.93,VendorB,Giftable
P000138,Sports,Outdoor,197.95,267.41,VendorA,Evergreen
P000139,Electronics,Smart Home,181.96,272.05,VendorC,Evergreen
P000140,Sports,Fitness,96.28,156.83,VendorE,Giftable
P000141,Beauty,Cosmetics,193.17,287.5,VendorB,Winter
P000142,Toys,Board Games,150.9,202.58,VendorE,Winter
P000143,Beauty,Fragrance,37.5,65.24,VendorB,Giftable
P000144,Toys,Puzzles,131.2,238.97,VendorD,Winter
P000145,Apparel,Outerwear,144.02,254.16,VendorA,Winter
P000146,Books,Fiction,140.76,248.56,VendorE,Evergreen
P000147,Beauty,Fragrance,12.55,17.03,VendorD,Giftable
P000148,Toys,Puzzles,167.59,220.44,VendorD,Winter
P000149,Grocery,Coffee,102.95,202.92,VendorD,Winter
P000150,Sports,Outdoor,49.54,94.75,VendorD,Evergreen
P000151,Grocery,Coffee,73.36,118.59,VendorC,Giftable
P000152,Toys,Puzzles,171.42,230.05,VendorC,Evergreen
P000153,Home,Bedding,46.74,71.55,VendorA,Giftable
P000154,Sports,Cycling,136.1,246.63,VendorE,Evergreen
P000155,Books,Non-Fiction,196.17,295.08,VendorC,Giftable
P000156,Jewelry,Bracelet,125.49,241.97,VendorE,Giftable
P000157,Books,Non-Fiction,17.88,29.94,VendorA,Giftable
P000158,Beauty,Cosmetics,15.13,21.88,VendorB,Winter
P000159,Apparel,Socks,190.45,312.69,VendorC,Winter
P000160,Books,Non-Fiction,80.54,126.04,VendorB,Giftable
P000161,Home,Kitchen,167.54,255.85,VendorA,Winter
P000162,Footwear,Slippers,43.16,76.11,VendorB,Giftable
P000163,Apparel,Outerwear,197.42,305.75,VendorB,Giftable
P000164,Grocery,Snacks,143.87,200.8,VendorA,Giftable
P000165,Grocery,Coffee,172.35,235.34,VendorE,Giftable
P000166,Beauty,Skincare,106.17,171.2,VendorA,Winter
P000167,Footwear,Boots,184.37,289.97,VendorE,Evergreen
P000168,Home,Kitchen,180.84,341.46,VendorD,Giftable
P000169,Electronics,Headphones,65.01,113.72,VendorA,Evergreen
P000170,Beauty,Cosmetics,14.67,22.82,VendorA,Giftable
P000171,Jewelry,Earrings,49.94,78.43,VendorA,Winter
P000172,Grocery,Coffee,11.05,15.11,VendorD,Giftable
P000173,Jewelry,Necklace,127.46,172.24,VendorB,Giftable
P000174,Books,Non-Fiction,91.81,167.06,VendorA,Giftable
P000175,Sports,Outdoor,197.2,313.36,VendorB,Giftable
P000176,Beauty,Cosmetics,96.29,149.65,VendorE,Giftable
P000177,Beauty,Skincare,53.84,81.24,VendorD,Giftable
P000178,Beauty,Skincare,153.25,261.52,VendorE,Giftable
P000179,Apparel,Socks,23.61,44.19,VendorE,Evergreen
P000180,Sports,Cycling,56.36,111.67,VendorB,Giftable
P000181,Toys,Puzzles,162.52,225.02,VendorA,Evergreen
P000182,Beauty,Skincare,72.64,113.33,VendorD,Giftable
P000183,Electronics,Gaming,79.82,152.45,VendorC,Giftable
P000184,Jewelry,Bracelet,45.16,85.87,VendorD,Evergreen
P000185,Apparel,Outerwear,19.43,26.02,VendorC,Giftable
P000186,Toys,Board Games,74.4,111.52,VendorE,Giftable
P000187,Grocery,Snacks,10.57,15.63,VendorB,Winter
P000188,Grocery,Chocolate,105.49,196.17,VendorA,Giftable
P000189,Electronics,Gaming,73.69,103.13,VendorE,Evergreen
P000190,Toys,Puzzles,135.46,208.78,VendorE,Giftable
P000191,Home,Decor,121.63,242.58,VendorB,Winter
P000192,Footwear,Boots,170.51,268.8,VendorC,Evergreen
P000193,Beauty,Skincare,160.05,280.34,VendorE,Winter
P000194,Toys,Board Games,97.96,154.37,VendorA,Giftable
P000195,Jewelry,Bracelet,78.88,153.29,VendorE,Evergreen
P000196,Apparel,Outerwear,57.46,81.69,VendorA,Giftable
P000197,Books,Children,49.31,72.57,VendorE,Winter
P000198,Beauty,Fragrance,106.4,188.36,VendorB,Giftable
P000199,Electronics,Gaming,47.8,68.82,VendorD,Giftable
P000200,Apparel,Sweaters,82.51,114.95,VendorC,Evergreen
P000201,Jewelry,Necklace,182.18,343.5,VendorD,Giftable
P000202,Footwear,Slippers,84.02,115.61,VendorD,Evergreen
P000203,Beauty,Skincare,61.59,93.12,VendorC,Winter
P000204,Beauty,Fragrance,95.42,153.7,VendorB,Giftable
P000205,Toys,Action Figures,149.66,292.96,VendorB,Giftable
P000206,Apparel,Sweaters,16.48,29.3,VendorC,Evergreen
P000207,Toys,Action Figures,191.22,309.13,VendorD,Evergreen
P000208,Home,Kitchen,133.57,248.64,VendorC,Winter
P000209,Beauty,Fragrance,147.68,241.68,VendorB,Evergreen
P000210,Jewelry,Bracelet,26.39,51.7,VendorC,Winter
P000211,Apparel,Sweaters,184.14,365.04,VendorD,Winter
P000212,Home,Kitchen,23.3,45.54,VendorA,Giftable
P000213,Books,Fiction,169.63,288.16,VendorD,Winter
P000214,Electronics,Headphones,42.08,58.95,VendorB,Giftable
P000215,Books,Fiction,39.25,76.67,VendorB,Giftable
P000216,Grocery,Snacks,129.11,226.96,VendorB,Winter
P000217,Footwear,Slippers,73.73,128.32,VendorA,Giftable
P000218,Electronics,Headphones,45.84,89.44,VendorE,Giftable
P000219,Electronics,Headphones,19.29,26.58,VendorB,Giftable
P000220,Beauty,Cosmetics,174.59,344.89,VendorE,Evergreen
P000221,Jewelry,Bracelet,76.74,117.32,VendorD,Giftable
P000222,Apparel,Outerwear,5.36,8.8,VendorE,Winter
P000223,Apparel,Sweaters,145.96,222.32,VendorA,Winter
P000224,Beauty,Fragrance,172.6,325.44,VendorD,Giftable
P000225,Beauty,Cosmetics,146.88,215.91,VendorD,Giftable
P000226,Apparel,Sweaters,163.16,291.0,VendorC,Giftable
P000227,Apparel,Outerwear,189.53,248.34,VendorA,Giftable
P000228,Home,Decor,49.1,87.05,VendorC,Evergreen
P000229,Beauty,Cosmetics,69.04,103.8,VendorC,Winter
P000230,Toys,Board Games,165.49,232.53,VendorD,Giftable
P000231,Beauty,Cosmetics,44.34,77.04,VendorA,Evergreen
P000232,Toys,Action Figures,107.08,155.6,VendorE,Giftable
P000233,Apparel,Sweaters,19.86,27.8,VendorC,Winter
P000234,Jewelry,Earrings,60.03,103.73,VendorB,Evergreen
P000235,Jewelry,Earrings,157.97,209.15,VendorB,Evergreen
P000236,Footwear,Boots,47.8,64.72,VendorC,Winter
P000237,Toys,Action Figures,111.8,220.75,VendorC,Winter
P000238,Electronics,Headphones,77.76,130.18,VendorD,Evergreen
P000239,Jewelry,Necklace,70.2,113.04,VendorC,Giftable
P000240,Books,Fiction,179.35,284.8,VendorE,Evergreen
P000241,Apparel,Socks,119.23,186.26,VendorE,Giftable
P000242,Books,Non-Fiction,183.11,346.9,VendorE,Winter
P000243,Home,Bedding,91.18,151.91,VendorC,Giftable
P000244,Beauty,Cosmetics,76.05,117.65,VendorE,Evergreen
P000245,Sports,Cycling,147.22,232.36,VendorB,Giftable
P000246,Beauty,Skincare,137.36,220.36,VendorE,Giftable
P000247,Grocery,Snacks,137.6,203.45,VendorB,Winter
P000248,Toys,Action Figures,193.39,276.41,VendorC,Winter
P000249,Beauty,Skincare,180.48,249.5,VendorD,Giftable
P000250,Books,Non-Fiction,199.26,294.49,VendorE,Winter
P000251,Books,Fiction,133.04,215.33,VendorC,Winter
P000252,Home,Kitchen,68.9,118.75,VendorE,Evergreen
P000253,Home,Decor,102.39,144.46,VendorE,Giftable
P000254,Footwear,Boots,74.58,130.17,VendorE,Evergreen
P000255,Sports,Outdoor,142.32,205.15,VendorD,Giftable
P000256,Beauty,Skincare,187.71,346.89,VendorB,Winter
P000257,Sports,Fitness,154.31,304.81,VendorB,Giftable
P000258,Home,Bedding,172.74,284.76,VendorC,Giftable
P000259,Home,Kitchen,5.92,10.17,VendorB,Winter
P000260,Grocery,Coffee,77.77,121.91,VendorE,Winter
P000261,Beauty,Skincare,118.29,227.45,VendorC,Giftable
P000262,Home,Kitchen,50.77,80.1,VendorC,Giftable
P000263,Electronics,Smart Home,73.69,103.08,VendorC,Winter
P000264,Electronics,Headphones,91.99,145.4,VendorA,Giftable
P000265,Footwear,Boots,6.02,9.72,VendorA,Winter
P000266,Beauty,Cosmetics,192.74,311.89,VendorE,Evergreen
P000267,Toys,Puzzles,61.14,99.62,VendorD,Winter
P000268,Jewelry,Earrings,67.1,99.17,VendorA,Winter
P000269,Footwear,Boots,35.16,58.1,VendorC,Evergreen
P000270,Apparel,Sweaters,175.2,286.92,VendorC,Winter
P000271,Grocery,Snacks,187.54,356.31,VendorC,Giftable
P000272,Beauty,Fragrance,7.0,12.19,VendorE,Giftable
P000273,Books,Children,99.93,167.75,VendorC,Giftable
P000274,Apparel,Socks,22.41,38.07,VendorC,Evergreen
P000275,Jewelry,Bracelet,153.31,252.76,VendorD,Giftable
P000276,Toys,Puzzles,197.05,392.68,VendorB,Evergreen
P000277,Beauty,Fragrance,75.98,131.04,VendorC,Giftable
P000278,Electronics,Headphones,145.6,189.99,VendorA,Giftable
P000279,Toys,Board Games,9.13,12.22,VendorA,Evergreen
P000280,Books,Fiction,144.63,203.75,VendorA,Giftable
P000281,Home,Bedding,182.47,345.42,VendorC,Winter
P000282,Electronics,Headphones,35.4,62.84,VendorD,Giftable
P000283,Grocery,Coffee,82.74,129.38,VendorE,Evergreen
P000284,Books,Children,190.72,323.05,VendorE,Winter
P000285,Sports,Cycling,149.63,233.16,VendorC,Giftable
P000286,Toys,Puzzles,34.03,57.94,VendorE,Evergreen
P000287,Books,Children,19.26,32.57,VendorD,Giftable
P000288,Beauty,Fragrance,9.25,18.06,VendorB,Winter
P000289,Books,Children,45.5,71.7,VendorD,Giftable
P000290,Home,Kitchen,22.19,29.44,VendorD,Winter
P000291,Electronics,Gaming,160.4,293.13,VendorA,Evergreen
P000292,Sports,Outdoor,70.16,120.0,VendorD,Evergreen
P000293,Books,Fiction,11.6,22.08,VendorA,Evergreen
P000294,Jewelry,Necklace,127.05,197.65,VendorC,Winter
P000295,Sports,Cycling,155.48,250.0,VendorB,Giftable
P000296,Sports,Cycling,93.09,133.91,VendorA,Giftable
P000297,Footwear,Boots,118.49,210.66,VendorB,Giftable
P000298,Apparel,Outerwear,71.67,124.81,VendorE,Giftable
P000299,Grocery,Coffee,48.76,73.45,VendorA,Evergreen
P000300,Sports,Cycling,80.62,111.5,VendorD,Winter
P000301,Toys,Action Figures,52.25,73.26,VendorB,Giftable
P000302,Home,Kitchen,40.33,53.12,VendorD,Winter
P000303,Footwear,Slippers,72.79,134.39,VendorB,Giftable
P000304,Jewelry,Earrings,155.93,210.38,VendorC,Evergreen
P000305,Home,Kitchen,185.52,263.05,VendorC,Giftable
P000306,Home,Bedding,85.71,130.86,VendorA,Giftable
P000307,Electronics,Gaming,158.7,276.64,VendorD,Evergreen
P000308,Home,Bedding,66.76,96.36,VendorA,Giftable
P000309,Apparel,Outerwear,9.63,15.13,VendorB,Winter
P000310,Apparel,Socks,154.32,256.03,VendorD,Giftable
P000311,Footwear,Boots,180.36,285.3,VendorE,Evergreen
P000312,Grocery,Snacks,96.37,155.22,VendorE,Giftable
P000313,Sports,Outdoor,102.35,203.64,VendorC,Evergreen
P000314,Apparel,Sweaters,123.76,221.12,VendorA,Giftable
P000315,Apparel,Sweaters,17.88,28.67,VendorD,Winter
P000316,Home,Bedding,75.12,122.78,VendorD,Giftable
P000317,Toys,Action Figures,163.78,215.4,VendorE,Giftable
P000318,Grocery,Coffee,70.11,105.14,VendorC,Giftable
P000319,Grocery,Snacks,132.24,237.49,VendorC,Winter
P000320,Beauty,Skincare,56.51,74.6,VendorE,Giftable
P000321,Sports,Fitness,180.19,317.05,VendorA,Evergreen
P000322,Apparel,Socks,102.75,185.54,VendorE,Giftable
P000323,Sports,Outdoor,191.5,309.72,VendorA,Giftable
P000324,Toys,Puzzles,41.11,68.83,VendorA,Evergreen
P000325,Books,Children,100.42,170.76,VendorA,Giftable
P000326,Footwear,Slippers,64.0,96.81,VendorB,Evergreen
P000327,Footwear,Boots,172.54,312.02,VendorB,Evergreen
P000328,Footwear,Boots,120.39,160.49,VendorA,Evergreen
P000329,Footwear,Slippers,110.99,201.47,VendorD,Winter
P000330,Electronics,Smart Home,96.06,125.21,VendorA,Evergreen
P000331,Grocery,Coffee,49.47,72.81,VendorE,Giftable
P000332,Sports,Fitness,9.9,18.32,VendorE,Evergreen
P000333,Sports,Outdoor,83.28,123.27,VendorC,Winter
P000334,Home,Kitchen,64.08,117.69,VendorA,Giftable
P000335,Footwear,Boots,179.73,316.96,VendorA,Giftable
P000336,Grocery,Chocolate,131.34,189.03,VendorE,Evergreen
P000337,Toys,Action Figures,156.46,257.17,VendorC,Giftable
P000338,Apparel,Outerwear,139.65,226.35,VendorB,Winter
P000339,Electronics,Gaming,7.36,9.95,VendorE,Giftable
P000340,Beauty,Skincare,157.24,292.69,VendorA,Evergreen
P000341,Footwear,Sneakers,125.02,189.75,VendorB,Giftable
P000342,Jewelry,Necklace,167.8,260.61,VendorC,Giftable
P000343,Jewelry,Bracelet,153.29,294.7,VendorB,Giftable
P000344,Apparel,Outerwear,117.8,162.73,VendorB,Giftable
P000345,Home,Kitchen,146.52,277.86,VendorB,Evergreen
P000346,Grocery,Chocolate,59.21,112.21,VendorE,Evergreen
P000347,Books,Fiction,102.86,164.95,VendorD,Evergreen
P000348,Books,Fiction,32.85,59.98,VendorC,Giftable
P000349,Footwear,Slippers,111.72,199.83,VendorC,Giftable
P000350,Apparel,Sweaters,14.53,27.83,VendorB,Evergreen
P000351,Footwear,Slippers,21.07,39.72,VendorC,Giftable
P000352,Books,Children,93.14,123.35,VendorA,Winter
P000353,Apparel,Outerwear,68.25,102.07,VendorA,Giftable
P000354,Home,Bedding,144.53,272.7,VendorE,Giftable
P000355,Grocery,Snacks,120.25,213.53,VendorD,Giftable
P000356,Home,Decor,22.6,45.08,VendorE,Giftable
P000357,Footwear,Slippers,75.38,136.07,VendorB,Evergreen
P000358,Grocery,Snacks,197.52,358.77,VendorC,Evergreen
P000359,Beauty,Cosmetics,134.9,187.29,VendorB,Giftable
P000360,Electronics,Smart Home,184.98,262.11,VendorE,Giftable
P000361,Books,Fiction,56.27,75.77,VendorA,Giftable
P000362,Grocery,Coffee,14.22,27.54,VendorB,Evergreen
P000363,Electronics,Smart Home,90.32,147.81,VendorC,Giftable
P000364,Grocery,Coffee,170.36,301.82,VendorE,Giftable
P000365,Books,Fiction,157.31,220.61,VendorB,Giftable
P000366,Jewelry,Necklace,173.3,227.45,VendorB,Giftable
P000367,Grocery,Snacks,15.5,29.95,VendorE,Giftable
P000368,Jewelry,Earrings,75.43,115.82,VendorB,Winter
P000369,Home,Kitchen,105.09,141.66,VendorC,Evergreen
P000370,Beauty,Cosmetics,108.33,187.45,VendorE,Giftable
P000371,Electronics,Smart Home,187.11,373.78,VendorD,Giftable
P000372,Footwear,Boots,94.25,173.32,VendorE,Evergreen
P000373,Grocery,Coffee,60.39,112.69,VendorE,Giftable
P000374,Toys,Board Games,47.61,76.09,VendorC,Winter
P000375,Sports,Cycling,6.26,8.33,VendorE,Giftable
P000376,Footwear,Sneakers,85.27,134.84,VendorB,Evergreen
P000377,Beauty,Cosmetics,46.49,68.22,VendorB,Evergreen
P000378,Jewelry,Bracelet,163.06,291.17,VendorC,Giftable
P000379,Electronics,Gaming,165.01,285.04,VendorE,Giftable
P000380,Footwear,Sneakers,16.19,31.58,VendorD,Giftable
P000381,Home,Kitchen,86.8,149.68,VendorD,Giftable
P000382,Jewelry,Necklace,140.69,239.85,VendorC,Giftable
P000383,Home,Bedding,20.05,35.28,VendorB,Winter
P000384,Sports,Outdoor,196.56,384.93,VendorE,Giftable
P000385,Jewelry,Earrings,189.03,358.86,VendorC,Giftable
P000386,Electronics,Smart Home,28.83,50.42,VendorC,Giftable
P000387,Books,Fiction,74.61,105.33,VendorA,Giftable
P000388,Books,Children,120.46,174.44,VendorB,Giftable
P000389,Grocery,Snacks,89.83,173.71,VendorB,Evergreen
P000390,Apparel,Outerwear,153.7,247.71,VendorC,Winter
P000391,Books,Children,68.3,112.09,VendorE,Winter
P000392,Toys,Board Games,99.13,171.9,VendorB,Giftable
P000393,Books,Non-Fiction,198.12,357.32,VendorB,Giftable
P000394,Grocery,Coffee,91.78,153.81,VendorD,Evergreen
P000395,Toys,Action Figures,106.69,152.29,VendorB,Evergreen
P000396,Toys,Puzzles,87.03,141.31,VendorE,Winter
P000397,Books,Non-Fiction,83.36,163.65,VendorB,Evergreen
P000398,Sports,Cycling,78.91,145.5,VendorB,Evergreen
P000399,Toys,Puzzles,79.11,127.08,VendorA,Giftable
P000400,Toys,Board Games,31.87,55.09,VendorC,Evergreen
P000401,Home,Bedding,179.75,257.92,VendorE,Giftable
P000402,Beauty,Fragrance,5.89,11.57,VendorC,Winter
P000403,Home,Decor,59.92,114.69,VendorA,Evergreen
P000404,Apparel,Outerwear,139.92,270.7,VendorB,Evergreen
P000405,Grocery,Chocolate,156.68,267.22,VendorA,Evergreen
P000406,Home,Decor,19.51,35.32,VendorB,Winter
P000407,Apparel,Socks,88.81,127.35,VendorE,Giftable
P000408,Electronics,Gaming,159.7,277.24,VendorB,Giftable
P000409,Toys,Board Games,19.98,36.99,VendorE,Evergreen
P000410,Books,Children,12.51,17.66,VendorD,Winter
P000411,Home,Bedding,130.67,178.36,VendorA,Giftable
P000412,Grocery,Snacks,81.49,131.56,VendorA,Giftable
P000413,Home,Kitchen,14.16,18.69,VendorA,Evergreen
P000414,Beauty,Skincare,88.07,120.12,VendorA,Evergreen
P000415,Sports,Outdoor,107.76,142.36,VendorB,Giftable
P000416,Electronics,Smart Home,56.91,85.88,VendorA,Giftable
P000417,Jewelry,Earrings,21.63,28.38,VendorE,Giftable
P000418,Jewelry,Bracelet,110.22,154.8,VendorB,Giftable
P000419,Home,Kitchen,104.75,184.75,VendorD,Winter
P000420,Electronics,Gaming,75.22,108.15,VendorA,Winter
P000421,Grocery,Chocolate,159.37,298.19,VendorE,Winter
P000422,Books,Non-Fiction,32.32,50.61,VendorA,Giftable
P000423,Electronics,Gaming,46.72,74.43,VendorD,Winter
P000424,Sports,Fitness,115.82,189.02,VendorB,Evergreen
P000425,Sports,Outdoor,168.62,306.62,VendorB,Giftable
P000426,Footwear,Sneakers,81.97,157.34,VendorC,Winter
P000427,Home,Kitchen,109.88,180.15,VendorB,Evergreen
P000428,Footwear,Sneakers,83.45,151.11,VendorE,Evergreen
P000429,Beauty,Cosmetics,145.53,219.25,VendorC,Giftable
P000430,Books,Children,144.94,276.95,VendorD,Winter
P000431,Toys,Puzzles,159.89,296.7,VendorB,Winter
P000432,Toys,Puzzles,148.12,270.94,VendorC,Giftable
P000433,Grocery,Coffee,70.91,125.24,VendorB,Winter
P000434,Apparel,Sweaters,142.54,207.41,VendorD,Giftable
P000435,Beauty,Cosmetics,45.8,69.29,VendorB,Evergreen
P000436,Home,Kitchen,166.51,315.41,VendorC,Giftable
P000437,Books,Children,39.35,61.44,VendorC,Winter
