OrderID,OrderDateTime,CustomerID,ChannelID,StoreID,PromotionID,CouponCode,PaymentType
O000157,2025-12-04 03:09:00,C018322,STORE,S024,PR029,CM20,Card
O000158,2025-12-05 02:28:00,C010163,WEB,,PR027,HOLIDAY15,PayPal
O000159,2025-12-01 09:50:00,C023465,WEB,,PR022,,Card
O000160,2025-12-16 07:27:00,C004154,WEB,,,,Card
O000161,2025-11-28 13:26:00,C005022,MKT,,PR005,SAVE10,Cash
O000162,2025-12-01 23:46:00,C015736,WEB,,PR036,HOLIDAY15,BNPL
O000163,2025-12-21 19:35:00,C014058,WEB,,PR021,,Card
O000164,2025-12-14 01:47:00,C018521,MKT,,PR005,,BNPL
O000165,2025-12-06 05:13:00,C016953,WEB,,PR018,CM20,Card
O000166,2025-11-22 06:23:00,C000489,MKT,,PR019,CM20,BNPL
O000167,2025-11-26 13:28:00,C018777,STORE,S043,PR052,HOLIDAY15,BNPL
O000168,2025-12-28 02:36:00,C016635,WEB,,PR019,SAVE10,BNPL
O000169,2025-11-28 10:35:00,C018711,MKT,,PR032,,Cash
O000170,2025-12-20 06:08:00,C002576,WEB,,PR030,BF25,Card
O000171,2025-12-01 00:52:00,C022271,STORE,S012,PR028,HOLIDAY15,Card
O000172,2025-12-21 10:02:00,C013791,WEB,,,SAVE10,BNPL
O000173,2025-11-11 03:43:00,C021429,MKT,,PR048,BF25,Card
O000174,2025-11-28 12:19:00,C009644,WEB,,PR027,,Card
O000175,2025-11-30 06:02:00,C022459,WEB,,PR045,BF25,BNPL
O000176,2026-01-03 04:49:00,C008740,MKT,,PR044,HOLIDAY15,Card
O000177,2025-12-25 03:27:00,C023674,MKT,,PR038,CM20,Card
O000178,2025-12-02 23:39:00,C009904,STORE,S040,PR019,,Card
O000179,2025-11-29 23:33:00,C002119,WEB,,PR022,BF25,Card
O000180,2025-11-26 07:31:00,C021886,WEB,,PR049,BF25,BNPL
O000181,2025-12-22 09:08:00,C000579,WEB,,PR020,HOLIDAY15,Card
O000182,2025-12-14 16:31:00,C023853,STORE,S014,PR044,,Card
O000183,2025-12-05 10:44:00,C023887,STORE,S048,PR045,,Cash
O000184,2025-11-28 04:12:00,C001405,MKT,,PR051,BF25,BNPL
O000185,2025-12-08 09:17:00,C024006,WEB,,PR023,,Card
O000186,2025-11-28 20:14:00,C011591,WEB,,PR010,SAVE10,Card
O000187,2025-11-28 04:56:00,C018304,WEB,,PR025,,Card
O000188,2025-12-08 00:42:00,C017972,WEB,,PR011,CM20,Card
O000189,2025-12-13 00:28:00,C011985,STORE,S024,PR010,,Card
O000190,2025-11-05 11:49:00,C006095,STORE,S037,,,Card
O000191,2025-11-28 00:30:00,C024483,WEB,,PR018,SAVE10,BNPL
O000192,2025-12-29 09:23:00,C024458,WEB,,PR028,BF25,Card
O000193,2025-12-21 12:01:00,C003860,WEB,,PR055,,Card
O000194,2025-12-28 16:39:00,C023433,MKT,,PR011,CM20,Card
O000195,2025-12-04 16:05:00,C003450,WEB,,PR042,SAVE10,Card
O000196,2025-12-15 12:53:00,C011011,WEB,,PR021,SAVE10,Card
O000197,2025-11-28 01:14:00,C006060,WEB,,PR031,CM20,BNPL
O000198,2025-11-01 14:46:00,C020655,MKT,,PR023,,Card
O000199,2025-12-12 20:47:00,C003045,WEB,,,CM20,PayPal
O000200,2025-11-26 02:03:00,C011040,MKT,,PR021,BF25,Card
O000201,2025-12-01 06:17:00,C006728,WEB,,PR060,,Card
O000202,2025-12-01 17:10:00,C023536,MKT,,PR054,,Card
O000203,2025-12-21 21:29:00,C004933,WEB,,,,PayPal
O000204,2025-11-28 11:11:00,C018717,STORE,S049,PR037,CM20,Card
O000205,2025-11-01 07:18:00,C013133,WEB,,PR014,,PayPal
O000206,2025-11-11 09:06:00,C006668,STORE,S056,PR056,,Card
O000207,2025-12-22 16:43:00,C012444,STORE,S024,,HOLIDAY15,BNPL
O000208,2025-11-28 21:27:00,C012714,WEB,,PR040,BF25,Card
O000209,2025-11-05 05:36:00,C011035,WEB,,PR043,BF25,BNPL
O000210,2025-12-11 05:19:00,C013646,MKT,,PR021,HOLIDAY15,Card
O000211,2025-11-03 19:43:00,C000587,STORE,S037,PR043,BF25,PayPal
O000212,2025-12-29 04:36:00,C010970,WEB,,PR027,SAVE10,Card
O000213,2025-12-19 15:16:00,C004826,WEB,,PR057,SAVE10,Card
O000214,2025-11-02 20:07:00,C011479,WEB,,PR008,BF25,BNPL
O000215,2025-12-28 11:44:00,C017335,WEB,,PR009,,Card
O000216,2025-12-01 01:18:00,C016988,WEB,,PR014,BF25,Card
O000217,2025-12-07 05:34:00,C014399,WEB,,PR052,,BNPL
O000218,2025-12-24 00:16:00,C017182,WEB,,PR038,,Card
O000219,2025-11-21 16:03:00,C010073,STORE,S019,PR004,BF25,PayPal
O000220,2025-12-20 14:11:00,C016263,WEB,,PR006,,Card
O000221,2025-12-25 07:40:00,C021076,WEB,,PR031,,Card
O000222,2025-11-28 19:31:00,C005593,STORE,S043,PR003,,Card
O000223,2025-12-16 22:47:00,C007604,WEB,,PR013,SAVE10,Card
O000224,2026-01-05 00:22:00,C010942,WEB,,PR001,,Card
O000225,2025-11-26 13:47:00,C018735,MKT,,PR023,SAVE10,BNPL
O000226,2025-12-20 23:25:00,C011036,MKT,,PR018,,PayPal
O000227,2025-11-28 03:09:00,C008296,MKT,,PR033,CM20,BNPL
O000228,2025-12-22 01:19:00,C015126,WEB,,PR038,BF25,PayPal
O000229,2025-11-14 12:12:00,C004336,MKT,,PR007,,Card
O000230,2025-12-20 01:19:00,C019801,MKT,,PR008,SAVE10,Card
O000231,2025-12-07 19:50:00,C015075,WEB,,PR051,SAVE10,Card
O000232,2025-12-25 13:22:00,C000142,WEB,,PR017,,Card
O000233,2025-12-21 10:21:00,C004568,WEB,,,SAVE10,Card
O000234,2025-11-10 15:55:00,C010775,STORE,S021,PR060,HOLIDAY15,Card
O000235,2025-12-10 00:35:00,C020854,WEB,,PR053,CM20,Card
O000236,2025-11-13 12:20:00,C019009,WEB,,PR036,BF25,Card
O000237,2026-01-04 12:07:00,C021530,WEB,,PR033,,Card
O000238,2025-12-20 15:31:00,C020077,WEB,,,SAVE10,BNPL
O000239,2025-11-17 23:16:00,C003647,WEB,,PR032,SAVE10,Card
O000240,2025-12-21 03:29:00,C005163,STORE,S037,PR054,BF25,BNPL
O000241,2025-11-28 15:04:00,C021120,STORE,S006,PR026,SAVE10,PayPal
O000242,2025-12-13 18:38:00,C009479,WEB,,,HOLIDAY15,Card
O000243,2025-11-28 11:43:00,C011473,WEB,,PR042,HOLIDAY15,Card
O000244,2025-11-28 12:23:00,C001988,STORE,S053,PR057,CM20,Card
O000245,2025-11-09 00:37:00,C005837,STORE,S031,PR059,,Card
O000246,2025-12-01 13:14:00,C019221,MKT,,PR041,HOLIDAY15,Cash
O000247,2025-12-21 15:31:00,C016512,STORE,S012,PR029,CM20,Card
O000248,2025-12-16 04:05:00,C011736,WEB,,PR025,,Card
O000249,2025-11-03 22:57:00,C019569,STORE,S046,PR031,SAVE10,Card
O000250,2025-12-01 20:36:00,C018429,WEB,,PR044,HOLIDAY15,PayPal
O000251,2025-11-28 23:26:00,C017083,MKT,,PR010,CM20,Cash
O000252,2026-01-01 13:19:00,C014087,WEB,,PR038,,Card
O000253,2025-11-19 16:57:00,C002321,WEB,,PR044,BF25,Card
O000254,2026-01-02 13:53:00,C024469,WEB,,PR021,,BNPL
O000255,2025-12-18 09:33:00,C008701,WEB,,PR006,,Card
O000256,2025-11-28 15:16:00,C022018,STORE,S031,PR027,,PayPal
O000257,2025-12-01 18:01:00,C021525,WEB,,PR050,HOLIDAY15,Card
O000258,2025-12-23 01:49:00,C012822,WEB,,PR058,BF25,Card
O000259,2025-11-17 21:49:00,C005299,STORE,S038,PR024,,Card
O000260,2025-11-25 07:54:00,C004375,STORE,S051,PR037,,PayPal
O000261,2025-12-01 05:44:00,C022171,MKT,,PR047,SAVE10,Card
O000262,2025-11-28 01:28:00,C002605,MKT,,PR035,BF25,Card
O000263,2025-12-16 00:00:00,C007841,MKT,,PR027,SAVE10,Card
O000264,2025-11-11 18:33:00,C021074,WEB,,PR035,,Card
O000265,2025-11-29 21:10:00,C021072,WEB,,PR012,CM20,BNPL
O000266,2025-12-01 11:16:00,C004461,MKT,,PR052,,PayPal
O000267,2025-11-24 20:29:00,C018601,WEB,,PR057,,Card
O000268,2025-12-05 15:24:00,C004583,WEB,,PR045,,Card
O000269,2025-12-12 17:27:00,C022933,STORE,S029,PR045,CM20,Card
O000270,2025-11-28 20:47:00,C013951,WEB,,PR036,,Card
O000271,2025-11-28 06:36:00,C010876,WEB,,PR053,,Card
O000272,2025-12-28 23:33:00,C002009,WEB,,,BF25,Card
O000273,2025-12-20 09:25:00,C012315,WEB,,PR005,CM20,Card
O000274,2025-12-22 10:15:00,C014895,WEB,,PR009,,Card
O000275,2025-12-22 14:16:00,C015880,STORE,S044,PR004,,Card
O000276,2025-12-04 22:48:00,C007609,MKT,,PR037,,Card
O000277,2025-11-28 12:51:00,C012055,WEB,,PR028,HOLIDAY15,Card
O000278,2025-12-16 14:02:00,C006859,MKT,,PR030,,Card
O000279,2025-11-02 03:05:00,C024769,MKT,,PR026,CM20,Card
O000280,2025-12-28 16:38:00,C004100,WEB,,PR024,SAVE10,Card
O000281,2025-11-16 01:22:00,C018122,WEB,,PR035,,Card
O000282,2025-11-02 06:43:00,C018602,WEB,,PR004,SAVE10,Card
O000283,2025-11-15 19:23:00,C002310,WEB,,PR059,SAVE10,Card
O000284,2025-11-04 04:59:00,C012000,WEB,,,,Card
O000285,2025-12-24 22:27:00,C010322,WEB,,PR053,,Card
O000286,2025-11-02 13:58:00,C001596,STORE,S042,PR027,,Card
O000287,2025-11-28 09:34:00,C001451,WEB,,PR019,CM20,Card
O000288,2025-12-05 19:36:00,C016850,STORE,S011,PR027,,Card
O000289,2025-12-12 04:57:00,C021318,STORE,S012,PR048,SAVE10,Card
O000290,2025-11-04 18:35:00,C011096,WEB,,PR007,,PayPal
O000291,2025-12-26 13:11:00,C011638,WEB,,PR048,,PayPal
O000292,2025-12-28 07:53:00,C019411,WEB,,PR012,HOLIDAY15,Card
O000293,2025-11-30 01:54:00,C019521,WEB,,PR059,,Card
O000294,2025-12-24 04:30:00,C006927,STORE,S052,PR003,,PayPal
O000295,2025-12-20 21:24:00,C007141,WEB,,PR057,SAVE10,PayPal
O000296,2025-12-01 16:21:00,C010599,MKT,,PR017,,Card
O000297,2025-12-22 20:10:00,C016141,STORE,S012,PR043,HOLIDAY15,PayPal
O000298,2025-12-22 04:44:00,C008206,WEB,,PR026,,BNPL
O000299,2025-11-18 11:32:00,C018405,WEB,,PR058,HOLIDAY15,Card
O000300,2025-11-25 02:18:00,C021157,STORE,S035,PR043,,Card
O000301,2025-11-08 15:53:00,C000430,WEB,,PR020,,Card
O000302,2025-12-25 05:23:00,C008017,WEB,,PR018,CM20,PayPal
O000303,2025-12-22 07:31:00,C023115,STORE,S021,PR048,,BNPL
O000304,2025-12-18 21:47:00,C001924,MKT,,PR007,HOLIDAY15,Cash
O000305,2025-11-26 01:01:00,C006600,STORE,S044,PR053,,Card
O000306,2026-01-01 03:13:00,C020575,WEB,,PR010,,Card
O000307,2025-12-10 06:55:00,C007759,WEB,,PR016,SAVE10,Card
O000308,2025-11-28 16:30:00,C024423,WEB,,PR050,BF25,PayPal
O000309,2025-12-15 00:32:00,C007882,WEB,,PR029,,Card
O000310,2025-12-27 17:03:00,C017014,WEB,,PR014,CM20,Card
O000311,2025-12-24 10:49:00,C024390,MKT,,PR031,CM20,PayPal
O000312,2025-12-11 15:52:00,C001326,STORE,S053,PR011,BF25,Card
O000313,2025-11-02 22:55:00,C012540,MKT,,PR057,CM20,Cash
O000314,2025-11-24 13:13:00,C005068,WEB,,PR044,HOLIDAY15,Card
O000315,2025-11-28 22:12:00,C004497,WEB,,PR028,,Cash
O000316,2025-11-28 13:56:00,C018843,WEB,,PR034,,PayPal
O000317,2025-12-08 22:44:00,C022700,WEB,,,,Card
O000318,2025-12-20 10:28:00,C015126,WEB,,PR025,,Card
O000319,2025-12-19 00:47:00,C000106,STORE,S034,PR043,,Card
O000320,2025-11-03 03:41:00,C009701,WEB,,PR020,,Card
O000321,2025-12-20 19:14:00,C008274,STORE,S013,PR037,SAVE10,Card
O000322,2025-12-17 18:35:00,C018709,STORE,S038,PR043,,PayPal
O000323,2025-11-22 07:39:00,C007494,WEB,,PR021,HOLIDAY15,Card
O000324,2025-12-29 18:16:00,C010313,STORE,S008,PR001,CM20,Card
O000325,2025-11-17 23:54:00,C024688,WEB,,PR040,,Card
O000326,2025-11-24 11:02:00,C016579,WEB,,PR021,BF25,Cash
O000327,2025-12-24 21:00:00,C011397,WEB,,PR044,,PayPal
O000328,2026-01-04 21:05:00,C024144,WEB,,PR036,CM20,Card
O000329,2025-12-07 07:35:00,C013755,WEB,,PR044,,Card
O000330,2025-12-20 11:18:00,C021386,WEB,,,SAVE10,Card
O000331,2025-11-01 14:27:00,C011278,MKT,,PR037,,BNPL
O000332,2025-11-28 03:00:00,C013427,MKT,,PR056,,Card
O000333,2025-11-18 00:39:00,C018106,WEB,,PR030,SAVE10,Card
O000334,2025-11-21 04:34:00,C011015,WEB,,,CM20,Card
O000335,2025-11-23 04:14:00,C011118,STORE,S006,,HOLIDAY15,BNPL
O000336,2025-11-25 09:19:00,C018618,WEB,,PR054,HOLIDAY15,Card
O000337,2025-12-10 19:35:00,C023057,WEB,,PR043,HOLIDAY15,Card
O000338,2025-12-24 22:56:00,C006469,WEB,,PR009,,Card
O000339,2025-12-14 14:38:00,C012416,WEB,,PR043,SAVE10,PayPal
O000340,2025-12-22 05:43:00,C020620,WEB,,PR057,,Card
O000341,2025-11-29 19:46:00,C012675,STORE,S007,PR018,BF25,BNPL
O000342,2025-12-01 04:22:00,C021305,STORE,S028,PR051,HOLIDAY15,Card
O000343,2026-01-04 05:07:00,C024367,WEB,,PR052,SAVE10,Card
O000344,2025-12-01 22:38:00,C013209,MKT,,PR015,,Card
O000345,2025-12-01 11:07:00,C002607,WEB,,,,Cash
O000346,2025-12-08 12:25:00,C020853,MKT,,PR008,,Card
O000347,2025-12-08 23:02:00,C004771,WEB,,PR047,,Card
O000348,2025-12-26 21:03:00,C012228,WEB,,PR029,,Card
O000349,2025-11-10 06:37:00,C004188,WEB,,PR025,HOLIDAY15,BNPL
O000350,2025-11-28 19:19:00,C022139,MKT,,PR049,,Card
O000351,2025-11-28 10:08:00,C013142,WEB,,PR060,HOLIDAY15,Cash
O000352,2025-11-16 19:41:00,C020779,STORE,S003,PR019,SAVE10,Card
O000353,2025-12-01 13:43:00,C017620,WEB,,PR058,HOLIDAY15,Card
O000354,2025-12-01 16:50:00,C011586,WEB,,PR048,HOLIDAY15,Card
O000355,2025-11-28 11:30:00,C011091,WEB,,PR038,HOLIDAY15,Card
O000356,2025-12-28 11:48:00,C001878,STORE,S037,PR008,BF25,Card
O000357,2025-11-01 03:31:00,C016596,WEB,,PR057,,Card
O000358,2025-11-28 19:27:00,C019074,STORE,S018,PR004,SAVE10,Card
O000359,2025-11-28 02:09:00,C020310,WEB,,PR019,,Card
O000360,2025-11-29 14:07:00,C015565,MKT,,PR034,,BNPL
O000361,2025-12-20 09:39:00,C010282,WEB,,PR008,CM20,Card
O000362,2025-12-21 01:16:00,C001280,MKT,,,CM20,Card
O000363,2025-12-29 11:24:00,C015800,WEB,,PR047,,Card
O000364,2025-11-01 12:59:00,C010933,MKT,,PR011,BF25,PayPal
O000365,2025-11-15 20:31:00,C011776,MKT,,PR025,,Card
O000366,2025-12-05 17:37:00,C012658,WEB,,PR042,BF25,Card
O000367,2025-12-24 04:10:00,C018951,MKT,,PR034,,Card
O000368,2025-11-11 18:02:00,C000295,WEB,,PR020,HOLIDAY15,Card
O000369,2025-12-01 20:30:00,C012851,WEB,,PR029,HOLIDAY15,Card
